,,,,AKA Yt,,,Yt/CMA,,,,,,,
t,Province,Year,No_Month,avg_unemployment_rate_month,MA(12),CMA(12),"St,It",,,,,,Month,St
1,Canada,1976,1,7.877777,,,,,,,,,1,#DIV/0!
2,Canada,1976,2,7.788888,,,,,,,,,2,1.000062808
3,Canada,1976,3,7.388888,,,,,,,,,3,0.996530204
4,Canada,1976,4,7.511111,,,,,,,,,4,1.00009344
5,Canada,1976,5,7.633333,,,,,,,,,5,1.014332762
6,Canada,1976,6,7.622222,7.86481425,8.052468639,0.946569598,,,,,,6,1.015227773
7,Canada,1976,7,8.277777,7.910184667,8.135956306,1.017431349,,,,,,7,1.008328872
8,Canada,1976,8,7.855555,7.991666167,8.223302,0.955279886,,,,,,8,1.0011239
9,Canada,1976,9,7.822222,8.086110667,8.314968681,0.940739803,,,,,,9,0.998244855
10,Canada,1976,10,8.144444,8.1879625,8.410802014,0.968331437,,,,,,10,0.996958681
11,Canada,1976,11,8.177777,8.274073583,8.505555097,0.961463056,,,,,,11,0.993724231
12,Canada,1976,12,8.277777,8.36574025,8.604474861,0.962031633,,,,,,12,0.994844702
13,Canada,1977,1,8.422222,8.434258833,8.704166236,0.967608128,,,,,,,
14,Canada,1977,2,8.766666,8.54166625,8.802931667,0.995880274,,,,,,,
15,Canada,1977,3,8.522222,8.661110667,8.889351417,0.95870009,,,,,,,
16,Canada,1977,4,8.733333,8.756481,8.968518083,0.973776595,,,,,,,
17,Canada,1977,5,8.666666,8.867592167,9.040277347,0.958672579,,,,,,,
18,Canada,1977,6,8.722222,8.9638885,9.105092167,0.957949886,,,,,,,
19,Canada,1977,7,9.1,9.026851417,9.162036611,0.99322895,,,,,,,
20,Canada,1977,8,9.144444,9.06018475,9.210647722,0.992812262,,,,,,,
21,Canada,1977,9,9.255555,9.136110667,9.255863778,0.99996664,,,,,,,
22,Canada,1977,10,9.288888,9.187036583,9.290123042,0.999867059,,,,,,,
23,Canada,1977,11,9.511111,9.256481083,9.312345278,1.021344325,,,,,,,
24,Canada,1977,12,9.433333,9.305555167,9.318826764,1.012287624,,,,,,,
25,Canada,1978,1,9.177777,9.318518083,9.313734167,0.985402507,,,,,,,
26,Canada,1978,2,9.166666,9.331481083,9.305092194,0.985123608,,,,,,,
27,Canada,1978,3,9.433333,9.34166625,9.289968736,1.015432158,,,,,,,
28,Canada,1978,4,9.344444,9.32037,9.263271208,1.008762865,,,,,,,
29,Canada,1978,5,9.5,9.29537,9.233332931,1.028880911,,,,,,,
30,Canada,1978,6,9.311111,9.274999583,9.192129208,1.012943877,,,,,,,
31,Canada,1978,7,9.255555,9.26666625,9.138425486,1.012817253,,,,,,,
32,Canada,1978,8,9.3,9.240740333,9.068209417,1.025560789,,,,,,,
33,Canada,1978,9,9.377777,9.181481083,8.982715556,1.04398018,,,,,,,
34,Canada,1978,10,9.033333,9.140740333,8.884721694,1.016726613,,,,,,,
35,Canada,1978,11,9.211111,9.048147667,8.778703139,1.049256462,,,,,,,
36,Canada,1978,12,9.188888,8.95277725,8.670061139,1.0598412,,,,,,,
37,Canada,1979,1,9.077777,8.845369833,8.560493222,1.060426866,,,,,,,
38,Canada,1979,2,8.855555,8.727777167,8.456172222,1.047229736,,,,,,,
39,Canada,1979,3,8.722222,8.593517917,8.363579625,1.042881444,,,,,,,
40,Canada,1979,4,8.855555,8.504629,8.290277153,1.068185639,,,,,,,
41,Canada,1979,5,8.388888,8.396295667,8.226079625,1.019791733,,,,,,,
42,Canada,1979,6,8.166666,8.29536975,8.183024083,0.998000973,,,,,,,
43,Canada,1979,7,7.966666,8.219443833,8.161882125,0.976081972,,,,,,,
44,Canada,1979,8,7.888888,8.172221583,8.160647569,0.966698774,,,,,,,
45,Canada,1979,9,7.766666,8.153703083,8.175925375,0.949943357,,,,,,,
46,Canada,1979,10,7.966666,8.119443833,8.197993306,0.971782448,,,,,,,
47,Canada,1979,11,7.911111,8.137962417,8.228548889,0.961422373,,,,,,,
48,Canada,1979,12,7.977777,8.168518,8.255863722,0.966316459,,,,,,,
49,Canada,1980,1,8.166666,8.2120365,8.279629167,0.986356494,,,,,,,
50,Canada,1980,2,8.288888,8.263888417,8.295369931,0.999218609,,,,,,,
51,Canada,1980,3,8.5,8.286110667,8.300616861,1.02402028,,,,,,,
52,Canada,1980,4,8.444444,8.302777333,8.296758847,1.017800343,,,,,,,
53,Canada,1980,5,8.611111,8.301851417,8.282252681,1.039706386,,,,,,,
